dataset;gene;soustype;typesurvie;pval_logRank;HR;n;FDR_logrank
GSE21653;AAMP;All-tumours;DFS;0,83;0;248;0,96
GSE21653;AAMP;Luminal-A;DFS;0,96;0;85;0,96
GSE21653;AAMP;Luminal-B;DFS;0,02;1,1;42;0,10
GSE21653;AAMP;HER2-enriched;DFS;0,32;0,8;22;0,65
GSE21653;AAMP;Basal-like;DFS;0,39;-0,4;74;0,65
GSE21653;APAF1;All-tumours;DFS;0,57;0,1;248;0,95
GSE21653;APAF1;Luminal-A;DFS;0,49;0,3;85;0,95
GSE21653;APAF1;Luminal-B;DFS;0,99;0;42;0,99
GSE21653;APAF1;HER2-enriched;DFS;0,12;1,2;22;0,60
GSE21653;APAF1;Basal-like;DFS;0,81;-0,1;74;0,99
GSE21653;AIRE;All-tumours;DFS;0,12;0,4;248;0,60
GSE21653;AIRE;Luminal-A;DFS;0,73;0,1;85;0,91
GSE21653;AIRE;Luminal-B;DFS;0,57;0,3;42;0,91
GSE21653;AIRE;HER2-enriched;DFS;0,98;0;22;0,98
GSE21653;AIRE;Basal-like;DFS;0,55;0,3;74;0,91
GSE21653;RERE;All-tumours;DFS;0,96;0;248;0,96
GSE21653;RERE;Luminal-A;DFS;0,86;0,1;85;0,96
GSE21653;RERE;Luminal-B;DFS;0,37;0,4;42;0,96
GSE21653;RERE;HER2-enriched;DFS;0,52;0,5;22;0,96
GSE21653;RERE;Basal-like;DFS;0,92;0;74;0,96
GSE21653;ATR;All-tumours;DFS;0,37;-0,2;248;0,62
GSE21653;ATR;Luminal-A;DFS;0,01;-1,2;85;0,05
GSE21653;ATR;Luminal-B;DFS;0,28;0,5;42;0,62
GSE21653;ATR;HER2-enriched;DFS;0,67;-0,3;22;0,83
GSE21653;ATR;Basal-like;DFS;0,83;0,1;74;0,83
GSE21653;ATRX;All-tumours;DFS;0,39;0,2;248;0,90
GSE21653;ATRX;Luminal-A;DFS;0,34;0,4;85;0,90
GSE21653;ATRX;Luminal-B;DFS;0,83;-0,1;42;0,90
GSE21653;ATRX;HER2-enriched;DFS;0,78;-0,2;22;0,90
GSE21653;ATRX;Basal-like;DFS;0,9;-0,1;74;0,90
GSE21653;PRDM1;All-tumours;DFS;0,95;0;248;0,95
GSE21653;PRDM1;Luminal-A;DFS;0,74;0,1;85;0,92
GSE21653;PRDM1;Luminal-B;DFS;0,25;0,5;42;0,80
