dataset;gene;soustype;typesurvie;pval_logRank;pval_Cox;FDR_logrank;FDR_Cox;HR;n;conclusion;poids
GSE21653;AAMP;All-tumours;DFS;0,83;0,83;0,96;0,96;0;248;Not Significative;0,49
GSE21653;AAMP;Luminal-A;DFS;0,96;0,96;0,96;0,96;0;85;Not Significative;0,49
GSE21653;AAMP;Luminal-B;DFS;0,02;0,03;0,10;0,15;1,1;42;Significative;0,49
GSE21653;AAMP;HER2-enriched;DFS;0,32;0,34;0,65;0,67;0,8;22;Not Significative;0,49
GSE21653;AAMP;Basal-like;DFS;0,39;0,4;0,65;0,67;-0,4;74;Not Significative;0,49
GSE21653;APAF1;All-tumours;DFS;0,57;0,57;0,95;0,95;0,1;248;Not Significative;0,49
GSE21653;APAF1;Luminal-A;DFS;0,49;0,49;0,95;0,95;0,3;85;Not Significative;0,49
GSE21653;APAF1;Luminal-B;DFS;0,99;0,99;0,99;0,99;0;42;Not Significative;0,49
GSE21653;APAF1;HER2-enriched;DFS;0,12;0,15;0,60;0,75;1,2;22;Not Significative;0,49
GSE21653;APAF1;Basal-like;DFS;0,81;0,81;0,99;0,99;-0,1;74;Not Significative;0,49
GSE21653;AIRE;All-tumours;DFS;0,12;0,12;0,60;0,60;0,4;248;Not Significative;0,49
GSE21653;AIRE;Luminal-A;DFS;0,73;0,73;0,91;0,91;0,1;85;Not Significative;0,49
GSE21653;AIRE;Luminal-B;DFS;0,57;0,58;0,91;0,91;0,3;42;Not Significative;0,49
GSE21653;AIRE;HER2-enriched;DFS;0,98;0,98;0,98;0,98;0;22;Not Significative;0,49
GSE21653;AIRE;Basal-like;DFS;0,55;0,55;0,91;0,91;0,3;74;Not Significative;0,49
GSE21653;RERE;All-tumours;DFS;0,96;0,96;0,96;0,96;0;248;Not Significative;0,49
GSE21653;RERE;Luminal-A;DFS;0,86;0,86;0,96;0,96;0,1;85;Not Significative;0,49
GSE21653;RERE;Luminal-B;DFS;0,37;0,37;0,96;0,96;0,4;42;Not Significative;0,49
GSE21653;RERE;HER2-enriched;DFS;0,52;0,52;0,96;0,96;0,5;22;Not Significative;0,49
GSE21653;RERE;Basal-like;DFS;0,92;0,92;0,96;0,96;0;74;Not Significative;0,49
